,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
185116,Introduction,2023-01-28,soir,48.0,299915.979999407,5048921.081995569,-73.562584,45.58018
185121,Vol dans / sur véhicule à moteur,2023-01-03,jour,13.0,295271.142998872,5031034.44000327,-73.621756,45.419181
185129,Vol de véhicule à moteur,2023-01-03,jour,44.0,299603.08299411,5046334.59899986,-73.566566,45.556904
185138,Vol dans / sur véhicule à moteur,2023-01-03,jour,45.0,296545.887005162,5054254.53400664,-73.605859,45.62814
185146,Vol dans / sur véhicule à moteur,2023-01-03,jour,21.0,300110.318001086,5041367.07600616,-73.560022,45.512208
185154,Vol de véhicule à moteur,2023-01-03,jour,30.0,293778.519993846,5047460.3680064,-73.641197,45.566966
185155,Vol dans / sur véhicule à moteur,2023-01-03,jour,13.0,294966.43801026,5033836.00000418,-73.625705,45.444386
185156,Introduction,2023-01-29,nuit,16.0,298824.10199674405,5035004.52400116,-73.576406,45.454945
185170,Méfait,2023-01-31,nuit,49.0,304482.937991211,5054632.5000049295,-73.504067,45.63159
185171,Vol de véhicule à moteur,2023-01-04,jour,38.0,299352.753997821,5042167.53099371,-73.569726,45.519405
185174,Vol de véhicule à moteur,2023-01-31,jour,42.0,297708.938,5047910.0,-73.590851,45.571063
185200,Vol dans / sur véhicule à moteur,2023-01-17,jour,21.0,299564.088,5041206.896,-73.567011,45.510763
185201,Vol dans / sur véhicule à moteur,2023-01-04,jour,21.0,300110.318001086,5041367.07600616,-73.560022,45.512208
185206,Vol dans / sur véhicule à moteur,2023-02-01,jour,21.0,300110.318001086,5041367.07600616,-73.560022,45.512208
185209,Vol de véhicule à moteur,2023-02-01,jour,39.0,295209.09399446,5051546.00000578,-73.62295,45.603751
185438,Vol de véhicule à moteur,2023-01-02,nuit,31.0,295589.378995098,5046060.87199752,-73.617972,45.554399
185439,Vol de véhicule à moteur,2023-01-02,nuit,1.0,277141.24999846,5036265.49999398,-73.853703,45.46577
185440,Introduction,2023-01-02,jour,44.0,297873.428996737,5045819.76399946,-73.588714,45.552256
185453,Vol de véhicule à moteur,2023-01-02,jour,13.0,296817.874996332,5031859.49999463,-73.602006,45.426624
185457,Vol de véhicule à moteur,2023-01-02,jour,1.0,277307.232993398,5036401.51800144,-73.851588,45.467
185459,Méfait,2023-01-02,jour,16.0,298897.624991425,5036153.000005569,-73.57548,45.46528
185466,Vol dans / sur véhicule à moteur,2023-01-02,jour,44.0,298915.43399531,5046911.54399384,-73.575381,45.56209
185468,Vol de véhicule à moteur,2023-01-26,nuit,16.0,299839.37500257493,5035308.00000498,-73.563428,45.457684
185469,Vol de véhicule à moteur,2023-01-02,jour,1.0,276820.753007599,5036104.12399639,-73.857793,45.464305
185482,Introduction,2023-01-29,nuit,35.0,296587.448009705,5044965.839997049,-73.60517,45.544558
185491,Introduction,2023-01-29,jour,9.0,296626.205001311,5037448.329997569,-73.604548,45.476913
185492,Vol dans / sur véhicule à moteur,2023-01-03,jour,31.0,294084.5,5045221.059,-73.637228,45.546821
185494,Vols qualifiés,2023-01-03,jour,38.0,299343.127006693,5042995.920994409,-73.569859,45.526859
185500,Méfait,2023-01-03,jour,13.0,295830.4060100711,5030793.50000376,-73.614605,45.41702
185514,Vol de véhicule à moteur,2023-01-29,jour,26.0,294768.792007648,5040955.670997529,-73.628377,45.508449
185517,Vol dans / sur véhicule à moteur,2023-01-29,jour,31.0,294448.557989398,5043404.51099123,-73.632527,45.53048
185520,Introduction,2023-01-29,jour,26.0,294706.27900953,5041447.286001209,-73.629187,45.512872
185821,Vol de véhicule à moteur,2023-01-29,jour,42.0,296105.593994036,5050284.4999939,-73.611435,45.592411
185833,Introduction,2023-01-29,jour,9.0,291911.188010061,5037894.49999858,-73.664868,45.480857
185843,Vol dans / sur véhicule à moteur,2023-01-29,jour,48.0,301120.031993856,5048488.41200417,-73.547152,45.576294
185844,Vol de véhicule à moteur,2023-01-29,jour,16.0,299519.2809964611,5035260.99999801,-73.56752,45.457258
185850,Vol de véhicule à moteur,2023-01-29,jour,38.0,297766.552009376,5042673.422995729,-73.590037,45.523943
185854,Introduction,2023-01-29,jour,46.0,299241.362990059,5051608.1139967,-73.571259,45.604354
185855,Vol de véhicule à moteur,2023-01-29,jour,8.0,288266.87499213,5033916.50000852,-73.71135,45.444984
185857,Introduction,2023-01-29,soir,31.0,295086.846990632,5042996.02600726,-73.624347,45.526814
185859,Vol de véhicule à moteur,2023-01-29,soir,30.0,296883.992000233,5047265.63600759,-73.601409,45.565256
185968,Vol de véhicule à moteur,2023-01-26,jour,26.0,293330.95800504,5039586.95299502,-73.646746,45.496111
