,CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
214034,Introduction,2023-01-23,soir,35.0,295672.8560043571,5043982.71799138,-73.616864,45.5357
214035,Vol de véhicule à moteur,2023-01-23,soir,10.0,287979.98200644,5042932.7290036,-73.715326,45.526109
214036,Vol de véhicule à moteur,2023-01-23,jour,27.0,292674.654008993,5044190.82100288,-73.655257,45.537527
214038,Méfait,2023-01-23,nuit,31.0,296792.743996095,5045906.63700202,-73.602556,45.553026
214039,Vols qualifiés,2023-01-23,nuit,13.0,295127.042,5033131.062,-73.623638,45.438045
214040,Méfait,2023-01-21,jour,27.0,293381.179004409,5047532.04000023,-73.646289,45.567605
214042,Vol de véhicule à moteur,2023-01-20,nuit,39.0,295603.596996165,5052374.60300269,-73.617908,45.611212
214043,Vol de véhicule à moteur,2023-01-20,nuit,9.0,293675.281008482,5037501.00000162,-73.642293,45.477346
214044,Vol de véhicule à moteur,2023-01-19,soir,4.0,282883.2810071191,5039328.00000049,-73.780411,45.493531
214045,Vol dans / sur véhicule à moteur,2023-01-19,jour,16.0,299166.6030001511,5035702.79299672,-73.572035,45.461231
214047,Vol de véhicule à moteur,2023-01-17,soir,23.0,300528.142,5044621.755,-73.554702,45.541497
214048,Introduction,2023-01-17,soir,48.0,303618.049008877,5050407.02699495,-73.515149,45.593567
214049,Vol dans / sur véhicule à moteur,2023-01-17,jour,7.0,286522.549,5039224.509,-73.733846,45.492705
214050,Vol de véhicule à moteur,2023-01-17,jour,27.0,291674.507,5046156.19,-73.668116,45.555194
214052,Introduction,2023-01-17,nuit,31.0,295191.415,5043249.07,-73.623014,45.529092
214062,Vol de véhicule à moteur,2023-01-26,jour,10.0,286703.1039932671,5042715.38799691,-73.731664,45.524121
